Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene description
WBGene00009569	srz-66	V	17166028	17167557	-1	Serpentine Receptor, class Z  [Source:UniProtKB/TrEMBL;Acc:Q9XV27]
WBGene00009570	srz-65	V	17167833	17169279	1	
WBGene00009571	F40D4.12	V	17159874	17162621	1	
WBGene00009572	F40D4.13	V	17156033	17157254	-1	
WBGene00009573	F40E10.5	X	14701790	14703682	1	
WBGene00009574	F40E10.6	X	14703715	14706859	-1	
WBGene00009575	F40F8.1	II	11127634	11129256	1	UMP-CMP kinase 2  [Source:UniProtKB/Swiss-Prot;Acc:Q20230]
WBGene00009576	F40F8.3	II	11129289	11130187	1	
WBGene00009577	F40F8.4	II	11139407	11140275	-1	
WBGene00009578	F40F8.5	II	11132861	11135140	-1	
WBGene00009579	arrd-6	II	11142751	11150381	1	ARRestin Domain protein  [Source:UniProtKB/TrEMBL;Acc:D1MN74]
WBGene00009580	xbx-6	V	9703055	9707824	1	X-BoX promoter element regulated  [Source:UniProtKB/TrEMBL;Acc:Q8MQ56]
WBGene00009581	F40F9.3	V	9715209	9716380	1	
WBGene00009582	F40F9.5	V	9719743	9724118	-1	
WBGene00009583	aagr-3	V	9725972	9729510	-1	Acid Alpha Glucosidase Relate  [Source:UniProtKB/TrEMBL;Acc:Q9U3F8]
WBGene00009584	drap-1	V	9730110	9734022	1	DRAP1 corepressor homolog  [Source:UniProtKB/TrEMBL;Acc:Q86G95]
WBGene00009585	cal-7	V	9734103	9735316	1	CALmodulin related genes  [Source:UniProtKB/TrEMBL;Acc:Q20238]
WBGene00009586	F40F9.10	V	9711447	9713632	-1	
WBGene00009587	mig-38	IV	11594244	11601695	1	Abnormal cell migration protein 38  [Source:UniProtKB/Swiss-Prot;Acc:A6ZJ71]
WBGene00009588	F40F11.3	IV	11592351	11594003	-1	
WBGene00009589	F40F11.4	IV	11588263	11592240	-1	
WBGene00009590	ttr-4	III	9916190	9916657	-1	
WBGene00009592	F40F12.3	III	9918645	9920864	-1	
WBGene00009593	mam-7	III	9893155	9898426	1	MAM (Meprin, A5-protein, PTPmu) domain protein  [Source:UniProtKB/TrEMBL;Acc:Q7JMS6]
WBGene00009594	cyld-1	III	9898602	9910658	-1	CYLinDromatosis (Human disease gene) homolog  [Source:UniProtKB/TrEMBL;Acc:Q7JMS4]
WBGene00009595	F40F12.7	III	9914261	9915883	1	
WBGene00009596	sre-8	V	14257107	14259231	1	Serpentine receptor class epsilon-8  [Source:UniProtKB/Swiss-Prot;Acc:Q20249]
WBGene00009597	F40G12.2	V	14259544	14260931	-1	
WBGene00009598	F40G12.3	V	14261990	14267317	1	
WBGene00009599	F40G12.4	V	14267761	14268639	-1	
WBGene00009600	F40G12.5	V	14269182	14270636	-1	
WBGene00009601	F40G12.6	V	14271143	14273047	-1	
WBGene00009602	F40G12.7	V	14275669	14276343	1	
WBGene00009603	srt-33	V	14278312	14279877	-1	Serpentine Receptor, class T  [Source:UniProtKB/TrEMBL;Acc:Q20244]
WBGene00009604	F40G12.9	V	14282482	14282997	1	
WBGene00009605	F40G12.10	V	14283528	14285327	1	
WBGene00009606	F40G12.11	V	14286171	14288056	1	
WBGene00009607	oac-26	I	12247771	12250210	1	O-ACyltransferase homolog  [Source:UniProtKB/TrEMBL;Acc:O45506]
WBGene00009608	nhr-265	I	12251906	12253554	1	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:O45507]
WBGene00009609	oac-27	I	12254506	12257180	-1	O-ACyltransferase homolog  [Source:UniProtKB/TrEMBL;Acc:O45508]
WBGene00009610	oac-28	I	12259912	12262848	-1	O-ACyltransferase homolog  [Source:UniProtKB/TrEMBL;Acc:G5EGR2]
WBGene00009611	F41D3.6	I	12264521	12266267	-1	
WBGene00009612	F41D3.7	I	12267045	12267491	1	
WBGene00009613	F41D3.8	I	12267499	12268128	-1	
WBGene00009614	F41D3.9	I	12272981	12274636	-1	
WBGene00009615	oac-25	I	12269255	12272190	-1	O-ACyltransferase homolog  [Source:UniProtKB/TrEMBL;Acc:G5EGR2]
WBGene00009616	F41D3.11	I	12276893	12278775	-1	
WBGene00009617	F41E7.1	X	10279599	10282842	1	
WBGene00009618	F41E7.2	X	10273692	10278261	1	
WBGene00009619	npr-6	X	10282825	10285734	-1	NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q20275]
WBGene00009620	fip-5	X	10302622	10303143	1	Fungus-Induced Protein  [Source:UniProtKB/TrEMBL;Acc:Q20276]
WBGene00009621	fipr-21	X	10304507	10304947	1	FIP (Fungus-Induced Protein) Related  [Source:UniProtKB/TrEMBL;Acc:Q20277]
WBGene00009622	F41E7.6	X	10307137	10310466	-1	
WBGene00009623	F41E7.7	X	10307873	10312182	1	
WBGene00009624	cnc-8	X	10306595	10306951	1	CaeNaCin (Caenorhabditis bacteriocin)  [Source:UniProtKB/TrEMBL;Acc:Q9XVW3]
WBGene00009625	F41E7.9	X	10312756	10316005	-1	
WBGene00009626	F42A8.1	II	9341397	9346590	-1	
WBGene00009627	cup-15	II	9353000	9354327	1	
WBGene00009628	tatn-1	X	14791008	14792980	1	Tyrosine AminoTraNsferase  [Source:UniProtKB/TrEMBL;Acc:Q93703]
WBGene00009629	sprr-2	X	14794217	14804359	1	Sex Peptide Receptor (Drosophila) Related  [Source:UniProtKB/TrEMBL;Acc:Q93704]
WBGene00009630	F42E8.1	V	13062429	13063617	1	
WBGene00009631	F42E8.2	V	13065461	13065794	-1	
WBGene00009632	ttyh-1	X	11368719	11374358	1	Protein tweety homolog 1  [Source:UniProtKB/Swiss-Prot;Acc:Q20332]
WBGene00009633	F42E11.3	X	11374599	11375609	-1	
WBGene00009634	nspc-9	X	12342946	12343379	-1	Nematode Specific Peptide family, group C  [Source:UniProtKB/TrEMBL;Acc:Q20345]
WBGene00009635	F42F12.3	X	12350578	12351788	1	
WBGene00009636	F42F12.4	X	12351978	12352949	-1	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase  [Source:UniProtKB/TrEMBL;Acc:Q20340]
WBGene00009637	nspc-13	X	12357427	12357919	1	Nematode Specific Peptide family, group C  [Source:UniProtKB/TrEMBL;Acc:G5EF55]
WBGene00009638	nspc-14	X	12358614	12359097	-1	Nematode Specific Peptide family, group C  [Source:UniProtKB/TrEMBL;Acc:G5EF55]
WBGene00009639	nspc-15	X	12360737	12361184	1	Nematode Specific Peptide family, group C  [Source:UniProtKB/TrEMBL;Acc:G5EC48]
WBGene00009640	nspc-10	X	12343609	12344043	1	Nematode Specific Peptide family, group C  [Source:UniProtKB/TrEMBL;Acc:Q8I4J0]
WBGene00009641	F42G4.2	II	13047941	13050807	1	
WBGene00009642	F42G4.5	II	13073493	13076223	1	
WBGene00009643	F42G4.6	II	13079093	13080762	1	
WBGene00009644	F42G4.7	II	13046548	13047287	-1	
WBGene00009645	F42G10.1	X	10018046	10022304	-1	
WBGene00009646	F42H11.1	I	9576357	9577907	1	
WBGene00009647	phlp-2	III	4209492	4216724	1	Protein phosphatase PHLPP-like protein  [Source:UniProtKB/Swiss-Prot;Acc:Q09564]
WBGene00009648	zhit-2	III	4243674	4244385	-1	Zinc finger, HIT-type  [Source:UniProtKB/TrEMBL;Acc:Q7K7S3]
WBGene00009649	F43C1.5	III	4229141	4230427	1	
WBGene00009650	ccnk-1	V	14612432	14613706	1	CyCliN K  [Source:UniProtKB/TrEMBL;Acc:O17869]
WBGene00009651	F43D2.2	V	14635582	14637751	-1	
WBGene00009652	F43D2.3	V	14631891	14633106	1	
WBGene00009653	F43D9.1	III	10488128	10500267	1	
WBGene00009654	sly-1	III	10507058	10518391	1	SLY1 homolog  [Source:UniProtKB/TrEMBL;Acc:A7LPF3]
WBGene00009656	F43G6.3	II	11782987	11784086	1	
WBGene00009657	F43G6.4	II	11790759	11797322	1	
WBGene00009658	F43G6.5	II	11814839	11816706	-1	
WBGene00009659	F43G6.7	II	11810790	11811665	1	
WBGene00009660	F43G6.8	II	11812294	11814113	-1	
WBGene00009661	patr-1	II	11774669	11777943	-1	Protein PAT1 homolog 1  [Source:UniProtKB/Swiss-Prot;Acc:Q20374]
WBGene00009662	F43G6.10	II	11809347	11810307	1	
WBGene00009663	hda-5	II	11799037	11802412	1	Histone deacetylase  [Source:UniProtKB/TrEMBL;Acc:Q8I4I9]
WBGene00009664	idha-1	I	8606404	8608631	-1	Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q93714]
WBGene00009665	lmd-1	I	8609925	8611066	1	LysM Domain (Peptidoglycan binding) protein  [Source:UniProtKB/TrEMBL;Acc:A5JYU6]
WBGene00009666	slc-25A42	I	8612728	8615175	-1	SLC (SoLute Carrier) homolog  [Source:UniProtKB/TrEMBL;Acc:Q93717]
WBGene00009667	F43G9.4	I	8610894	8612602	-1	
WBGene00009668	cfim-1	I	8615388	8616420	1	Cleavage Factor IM (CFIm) homolog  [Source:UniProtKB/TrEMBL;Acc:Q93716]
WBGene00009670	F43G9.8	I	8617400	8618889	1	
WBGene00009671	mfap-1	I	8638514	8640236	-1	Microfibrillar-associated protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q93712]
WBGene00009672	F43G9.12	I	8640508	8644399	1	
WBGene00009673	F43G9.13	I	8605263	8606584	1	
WBGene00009674	nucb-1	X	10197706	10200407	1	NUCleoBindin homolog  [Source:UniProtKB/TrEMBL;Acc:Q20384]
WBGene00009675	F44A6.3	X	10212771	10214165	1	
WBGene00009676	F44A6.4	X	10214443	10215495	-1	
WBGene00009677	F44A6.5	X	10217310	10218760	-1	
WBGene00009678	magu-4	IV	10009354	10014187	1	MAGUK family  [Source:UniProtKB/TrEMBL;Acc:S6F5A3]
WBGene00009679	F44D12.2	IV	10013958	10016398	-1	
WBGene00009680	msd-1	IV	10022263	10022705	-1	Major Sperm protein Domain containing  [Source:UniProtKB/TrEMBL;Acc:G5EEJ7]
WBGene00009681	gipc-2	IV	10026413	10027666	-1	GIPC (RGS-GAIP Interacting Protein C) homolog  [Source:UniProtKB/TrEMBL;Acc:Q20393]
WBGene00009682	msd-2	IV	10029055	10029498	1	Major Sperm protein Domain containing  [Source:UniProtKB/TrEMBL;Acc:G5EEJ7]
WBGene00009683	F44D12.6	IV	10033363	10034820	1	
WBGene00009684	msd-3	IV	10035638	10035967	1	Major Sperm protein Domain containing  [Source:UniProtKB/TrEMBL;Acc:G5EEJ7]
WBGene00009685	F44D12.8	IV	10023291	10025226	1	
WBGene00009686	ent-7	IV	10017425	10021286	1	Equilibrative Nucleoside Transporter  [Source:UniProtKB/TrEMBL;Acc:E1B6S0]
WBGene00009687	F44D12.10	IV	10036627	10037066	-1	
WBGene00009688	F44E5.1	II	11774144	11774559	-1	
WBGene00009689	F44E5.2	II	11766772	11768622	1	
WBGene00009690	F44E5.3	II	11762166	11765662	-1	
WBGene00009691	F44E5.4	II	11757106	11759323	-1	
WBGene00009692	F44E5.5	II	11759640	11761853	1	
WBGene00009693	F44F1.1	I	13250519	13252902	1	
WBGene00009695	F44F1.3	I	13254141	13257729	1	
WBGene00009696	F44F1.4	I	13263803	13265570	-1	
WBGene00009697	F44F1.5	I	13258381	13260217	-1	
WBGene00009698	F44F1.6	I	13260933	13262727	-1	
WBGene00009700	lurp-1	II	10880925	10882427	1	LU (Ly6 Urokinase plasminogen) domain Receptor-related Protein  [Source:UniProtKB/TrEMBL;Acc:Q20401]
WBGene00009701	egg-3	II	10882408	10884462	-1	EGG sterile (Unfertilizable)  [Source:UniProtKB/TrEMBL;Acc:Q20402]
WBGene00009702	F44F4.3	II	10884705	10885878	-1	
WBGene00009704	F44F4.9	II	10915280	10915832	-1	
WBGene00009705	F44F4.10	II	10915901	10917274	-1	
WBGene00009706	argk-1	V	16103894	16105950	1	ARGinine Kinase  [Source:UniProtKB/TrEMBL;Acc:O45518]
WBGene00009707	srxa-16	V	16112992	16114337	-1	Serpentine Receptor, class XA  [Source:UniProtKB/TrEMBL;Acc:O45516]
WBGene00009708	F44G3.7	V	16133781	16137143	-1	
WBGene00009709	fbxa-144	V	16131180	16133283	-1	F-box A protein  [Source:UniProtKB/TrEMBL;Acc:D5MCV2]
WBGene00009710	F44G3.10	V	16138846	16139627	-1	
WBGene00009711	F44G4.1	II	8994636	8996269	1	Brix domain-containing protein F44G4.1  [Source:UniProtKB/Swiss-Prot;Acc:P54073]
WBGene00009712	F44G4.2	II	8996364	8997037	1	Probable NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:Q20412]
WBGene00009713	F44G4.3	II	8997027	8997662	-1	
WBGene00009714	F44G4.5	II	8999727	9000431	-1	
WBGene00009715	F44G4.6	II	9000872	9001793	-1	
WBGene00009716	F44G4.7	II	9002527	9005167	-1	
WBGene00009717	dep-1	II	9005796	9019775	-1	Receptor-type tyrosine-protein phosphatase dep-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EGJ9]
WBGene00009720	F45B8.3	X	14960544	14961571	-1	
WBGene00009721	F45D3.1	V	12527058	12528023	1	
WBGene00009722	F45D3.2	V	12541040	12542973	1	
WBGene00009723	F45D3.3	V	12549216	12550385	-1	
WBGene00009724	F45D3.4	V	12552211	12553301	-1	
WBGene00009725	F45E6.1	X	12475659	12477441	-1	
WBGene00009726	tbc-13	X	12485054	12491102	1	TBC (Tre-2/Bub2/Cdc16) domain family  [Source:UniProtKB/TrEMBL;Acc:Q20436]
WBGene00009727	lips-1	X	12492865	12495862	1	LIPaSe related  [Source:UniProtKB/TrEMBL;Acc:Q20437]
WBGene00009728	sdz-19	X	12502802	12503338	-1	SKN-1 Dependent Zygotic transcript  [Source:UniProtKB/TrEMBL;Acc:O62242]
WBGene00009729	F45E10.2	II	11052140	11055303	-1	
WBGene00009730	myo-6	III	13409895	13423537	1	MYOsin heavy chain structural genes  [Source:UniProtKB/TrEMBL;Acc:Q5FC20]
WBGene00009731	exo-1	III	13423514	13426204	1	EXOnuclease  [Source:UniProtKB/TrEMBL;Acc:O62245]
WBGene00009732	cope-1	III	13426100	13427715	1	Coatomer subunit epsilon  [Source:UniProtKB/Swiss-Prot;Acc:O62246]
WBGene00009733	F45G2.7	III	13433447	13434504	-1	
WBGene00009734	F45G2.8	III	13434861	13435670	-1	Mitochondrial import inner membrane translocase subunit tim-16  [Source:UniProtKB/Swiss-Prot;Acc:O62250]
WBGene00009735	F45G2.9	III	13435771	13436943	-1	rRNA methyltransferase 2, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:O62251]
WBGene00009736	F45G2.10	III	13437054	13439586	-1	MIP18 family protein F45G2.10  [Source:UniProtKB/Swiss-Prot;Acc:O62252]
WBGene00009738	hecw-1	III	3377408	3389970	-1	HECT, C2 and WW domain-containing ubiquitin ligase  [Source:UniProtKB/TrEMBL;Acc:G5EEJ0]
WBGene00009739	F45H10.2	II	13491803	13493050	-1	
WBGene00009740	F45H10.3	II	13493181	13494600	-1	
WBGene00009741	drr-1	II	13495050	13495900	-1	Dietary Restriction Response (WT but not eat-2 lifespan increased)  [Source:UniProtKB/TrEMBL;Acc:O02268]
WBGene00009742	F45H10.5	II	13501877	13503822	1	
WBGene00009743	sptf-1	I	10366621	10371699	1	SP (Specificity Protein) Transcription Factor  [Source:UniProtKB/TrEMBL;Acc:Q564X9]
WBGene00009744	hpo-35	I	10374809	10379631	1	
WBGene00009745	F45H11.5	I	10381082	10382040	1	
WBGene00009746	F46A8.3	I	11242732	11243526	-1	Galectin  [Source:UniProtKB/TrEMBL;Acc:O01329]
WBGene00009747	F46A8.4	I	11241225	11241970	-1	Galectin  [Source:UniProtKB/TrEMBL;Acc:O01330]
WBGene00009748	F46A8.5	I	11239684	11240473	-1	Galectin  [Source:UniProtKB/TrEMBL;Acc:O01331]
WBGene00009749	F46A8.6	I	11243836	11245003	-1	
WBGene00009750	F46A8.7	I	11238117	11238227	-1	
WBGene00009751	F46A8.8	I	11235882	11236707	-1	Galectin  [Source:UniProtKB/TrEMBL;Acc:C4RVF6]
WBGene00009752	F46A8.9	I	11252238	11252981	1	
WBGene00009753	scrm-6	I	11253256	11256022	1	Phospholipid scramblase  [Source:UniProtKB/TrEMBL;Acc:Q9XV36]
WBGene00009754	F46A9.1	I	9457456	9458842	1	
WBGene00009755	F46A9.2	I	9459287	9460550	1	
WBGene00009756	F46B3.1	V	20596210	20597244	-1	
WBGene00009757	F46B3.2	V	20598508	20599492	-1	
WBGene00009758	ttr-11	V	20603366	20604378	1	TransThyretin-Related family domain  [Source:UniProtKB/TrEMBL;Acc:J7SF92]
WBGene00009759	ttr-12	V	20607804	20608559	-1	TransThyretin-Related family domain  [Source:UniProtKB/TrEMBL;Acc:Q9XV18]
WBGene00009760	F46B3.7	V	20618120	20618656	-1	
WBGene00009761	F46B3.8	V	20622650	20623160	-1	
WBGene00009762	F46B3.9	V	20625186	20626143	-1	
WBGene00009763	srz-18	V	20626711	20628206	1	Serpentine Receptor, class Z  [Source:UniProtKB/TrEMBL;Acc:Q9XV13]
WBGene00009764	srz-17	V	20628422	20629802	1	
WBGene00009765	F46B3.14	V	20630148	20631329	-1	
WBGene00009766	F46B3.15	V	20632985	20633689	-1	
WBGene00009767	F46B3.16	V	20634462	20635313	1	
WBGene00009768	F46B6.2	V	9772430	9774881	1	
WBGene00009769	F46B6.4	V	9777863	9779518	-1	
WBGene00009770	F46B6.5	V	9779550	9783062	-1	
WBGene00009771	F46B6.6	V	9783167	9786868	-1	
WBGene00009772	ztf-7	V	9786949	9789707	-1	Zinc finger putative Transcription Factor family  [Source:UniProtKB/TrEMBL;Acc:Q20448]
WBGene00009773	lipl-2	V	9791567	9793234	1	Lipase  [Source:UniProtKB/TrEMBL;Acc:Q20449]
WBGene00009774	F46B6.9	V	9796862	9798270	1	
WBGene00009775	F46B6.10	V	9801463	9802028	-1	
WBGene00009776	F46B6.12	V	9774897	9775834	-1	UPF0587 protein F46B6.12  [Source:UniProtKB/Swiss-Prot;Acc:Q9BI88]
WBGene00009777	F46C3.2	X	11416653	11418740	-1	
WBGene00009778	F46C5.1	II	8820149	8821248	-1	
WBGene00009779	F46C5.2	II	8828196	8829287	-1	
WBGene00009780	F46C5.4	II	8836175	8839313	1	
WBGene00009781	F46C5.6	II	8840200	8844515	-1	
WBGene00009782	F46C5.7	II	8839325	8840243	1	
WBGene00009783	rer-1	II	8811353	8812633	1	Protein RER1 homolog  [Source:UniProtKB/Swiss-Prot;Acc:P52879]
WBGene00009784	F46C5.9	II	8808636	8810729	-1	
WBGene00009785	F46C5.10	II	8817593	8818426	-1	
WBGene00009786	F46F2.1	X	15250809	15253877	1	
WBGene00009787	F46F2.3	X	15259579	15260290	-1	
WBGene00009788	F46F2.4	X	15257597	15259048	1	
WBGene00009789	F46F2.5	X	15262727	15267857	1	
WBGene00009790	lgc-44	V	11669348	11672594	-1	Ligand-Gated ion Channel  [Source:UniProtKB/TrEMBL;Acc:P90876]
WBGene00009791	F46F3.3	V	11667476	11669390	1	
WBGene00009793	pkn-1	X	10397243	10402573	1	Protein Kinase N (PKN) homolog  [Source:UniProtKB/TrEMBL;Acc:G5EGE3]
WBGene00009796	F46G10.1	X	13310227	13311830	-1	
WBGene00009797	F46G10.2	X	13322963	13327854	1	
WBGene00009798	F46G10.4	X	13334046	13336784	1	
WBGene00009799	lgc-47	X	9801091	9807662	-1	Ligand-Gated ion Channel  [Source:UniProtKB/TrEMBL;Acc:G5EC54]
WBGene00009800	rrc-1	X	9823752	9831249	-1	GTPase-activating protein rrc-1  [Source:UniProtKB/Swiss-Prot;Acc:Q20498]
WBGene00009801	ipla-2	X	9833352	9838039	-1	Intracelllar PhosphoLipase A family  [Source:UniProtKB/TrEMBL;Acc:Q20500]
WBGene00009802	F47B8.1	V	14313759	14314333	-1	
WBGene00009803	F47B8.2	V	14315859	14316625	-1	
WBGene00009804	F47B8.3	V	14321371	14323003	-1	
WBGene00009805	F47B8.4	V	14323607	14324631	-1	
WBGene00009806	F47B8.5	V	14325787	14327876	-1	
WBGene00009807	pepm-1	V	14329069	14330080	1	PEPtidase M1 domain containing  [Source:UniProtKB/TrEMBL;Acc:Q20520]
WBGene00009808	srm-4	V	14333416	14334803	1	Serpentine Receptor, class M  [Source:UniProtKB/TrEMBL;Acc:Q20522]
WBGene00009809	F47B8.8	V	14331674	14332667	1	
WBGene00009810	srm-6	V	14337049	14338808	1	Serpentine Receptor, class M  [Source:UniProtKB/TrEMBL;Acc:Q20527]
WBGene00009811	F47B8.10	V	14343068	14346964	1	
WBGene00009812	suca-1	X	10897678	10900114	-1	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P53588]
WBGene00009813	haly-1	X	10893567	10896598	-1	Histidine ammonia-lyase  [Source:UniProtKB/Swiss-Prot;Acc:Q20502]
WBGene00009814	F47B10.3	X	10892190	10893569	1	
WBGene00009815	F47B10.4	X	10891295	10891707	1	
WBGene00009816	F47B10.5	X	10889041	10890556	-1	
WBGene00009817	F47B10.6	X	10888506	10889028	1	
WBGene00009818	acbp-3	X	10903278	10905107	1	Acyl-CoA-binding protein homolog 3  [Source:UniProtKB/Swiss-Prot;Acc:Q20507]
WBGene00009819	F47B10.8	X	10905181	10910768	-1	
WBGene00009820	F47B10.9	X	10912118	10914081	-1	
WBGene00009822	clec-113	I	14054593	14056894	-1	C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:Q9XTS6]
WBGene00009823	gadr-6	I	14078193	14082643	-1	
WBGene00009824	gpdh-1	I	14075836	14078211	1	Glycerol-3-phosphate dehydrogenase [NAD(+)]  [Source:UniProtKB/TrEMBL;Acc:Q9XTS4]
WBGene00009825	F47G4.4	I	14062749	14068803	-1	
WBGene00009826	F47G4.5	I	14060876	14062137	-1	
WBGene00009827	hmg-6	I	14059411	14060829	1	HMG  [Source:UniProtKB/TrEMBL;Acc:Q9XTS5]
WBGene00009828	F47G4.8	I	14052136	14054154	-1	
WBGene00009829	F47G9.1	V	11323965	11326964	-1	
WBGene00009830	cutl-18	V	11313400	11316901	-1	CUTiclin-Like  [Source:UniProtKB/TrEMBL;Acc:G5EBR9]
WBGene00009831	F47G9.4	V	11317214	11321786	-1	Probable RING finger protein 207 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q20548]
WBGene00009833	F47G9.6	V	11329400	11330775	1	
WBGene00009834	lsy-27	V	17348665	17350180	-1	
WBGene00009835	F47H4.2	V	17353325	17360212	1	
WBGene00009836	fbxa-185	V	17331570	17335546	1	F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q9XU25]
WBGene00009837	fbxa-186	V	17336138	17338335	1	
WBGene00009838	fbxa-187	V	17339084	17342780	1	
WBGene00009839	fbxa-188	V	17343312	17348239	-1	F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q9XU29]
WBGene00009840	fbxa-189	V	17345228	17347775	1	F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q9XU28]
WBGene00009841	fbxa-134	V	17350387	17352870	-1	F-box A protein  [Source:UniProtKB/TrEMBL;Acc:Q9XU26]
WBGene00009842	igeg-2	X	11444424	11446635	-1	IG (Immunoglobulin), EGF and transmmembrane domain  [Source:UniProtKB/TrEMBL;Acc:Q20559]
WBGene00009843	F48C5.2	X	11451617	11454195	-1	
WBGene00009844	cwp-5	X	13182463	13189961	-1	Coexpressed With Polycystins  [Source:UniProtKB/TrEMBL;Acc:B6VQ88]
WBGene00009846	F48F5.2	V	20440232	20446477	-1	
WBGene00009848	F48F5.6	V	20448288	20453202	-1	
WBGene00009849	F48F7.3	X	13963509	13965718	1	Hexosyltransferase  [Source:UniProtKB/TrEMBL;Acc:Q20575]
WBGene00009850	F48F7.5	X	13975660	13976920	1	
WBGene00009851	F48F7.6	X	13977829	13979031	1	
WBGene00009852	arrd-24	X	13979240	13980515	-1	ARRestin Domain protein  [Source:UniProtKB/TrEMBL;Acc:Q20577]
WBGene00009853	arrd-27	X	13980840	13981629	1	ARRestin Domain protein  [Source:UniProtKB/TrEMBL;Acc:G5ECC2]
WBGene00009854	clec-31	V	16856437	16858077	-1	C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:O45528]
WBGene00009855	clec-22	V	16858429	16860040	1	C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:O45531]
WBGene00009856	clec-24	V	16862012	16863890	1	C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:O45530]
WBGene00009857	clec-28	V	16865704	16867226	1	C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:Q564U0]
WBGene00009858	thn-4	V	16870742	16871487	-1	THaumatiN family  [Source:UniProtKB/TrEMBL;Acc:O45533]
WBGene00009859	clec-33	V	16867678	16869845	-1	C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:O45534]
WBGene00009860	clec-32	V	16860228	16861869	-1	C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:Q7YX12]
WBGene00009861	fbxb-8	I	14298755	14299763	1	F-box B protein  [Source:UniProtKB/TrEMBL;Acc:O45535]
WBGene00009862	fbxb-67	I	14297287	14298265	1	F-box B protein  [Source:UniProtKB/TrEMBL;Acc:O45536]
WBGene00009863	F49B2.3	I	14311009	14312871	1	
WBGene00009864	F49B2.4	I	14316650	14318522	1	
WBGene00009865	F49B2.6	I	14331085	14339831	1	Aminopeptidase  [Source:UniProtKB/TrEMBL;Acc:G5EGH4]
WBGene00009866	F49C5.3	II	12536503	12538599	1	
WBGene00009867	F49C5.4	II	12535760	12542569	1	
WBGene00009868	F49C5.5	II	12546030	12546513	-1	
WBGene00009869	F49C5.7	II	12566165	12568297	1	
WBGene00009871	F49C12.1	IV	9294899	9296406	-1	
WBGene00009872	F49C12.2	IV	9298024	9299220	-1	
WBGene00009873	F49C12.3	IV	9300427	9301951	1	
WBGene00009874	F49C12.4	IV	9302665	9304094	-1	
WBGene00009875	F49C12.5	IV	9304917	9307165	1	Glycosyltransferase family 92 protein F49C12.5  [Source:UniProtKB/Swiss-Prot;Acc:Q20593]
WBGene00009876	F49C12.6	IV	9307338	9309109	-1	
WBGene00009877	F49C12.7	IV	9309108	9312927	-1	
WBGene00009878	F49C12.9	IV	9314810	9316215	-1	
WBGene00009879	F49C12.10	IV	9318153	9319286	-1	
WBGene00009880	F49C12.11	IV	9319380	9320143	1	Translation machinery-associated protein 7 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q20588]
WBGene00009881	F49C12.12	IV	9320122	9321089	-1	
WBGene00009882	vha-17	IV	9321801	9322528	1	V-type proton ATPase subunit e  [Source:UniProtKB/Swiss-Prot;Acc:Q20591]
WBGene00009883	F49C12.14	IV	9322489	9324145	-1	
WBGene00009884	F49C12.15	IV	9324435	9327516	1	
WBGene00009885	F49E2.1	X	9561850	9565981	-1	Molybdenum cofactor biosynthesis protein 1 GTP 3',8-cyclase Cyclic pyranopterin monophosphate synthase [Source:UniProtKB/Swiss-Prot;Acc:Q20624]
WBGene00009886	F49E2.2	X	9567296	9573723	1	
WBGene00009887	glb-17	X	9573741	9575866	-1	GLoBin related  [Source:UniProtKB/TrEMBL;Acc:D0VWM4]
WBGene00009888	F49E2.5	X	9543670	9560801	1	
WBGene00009889	F49E11.2	IV	13035956	13039021	-1	
WBGene00009890	scl-9	IV	13047197	13048262	1	SCP-Like extracellular protein  [Source:UniProtKB/TrEMBL;Acc:Q93747]
WBGene00009891	scl-10	IV	13048457	13049835	1	SCP-Like extracellular protein  [Source:UniProtKB/TrEMBL;Acc:Q20609]
WBGene00009892	scl-11	IV	13051377	13052149	1	SCP-Like extracellular protein  [Source:UniProtKB/TrEMBL;Acc:Q93746]
